Timestamp,Filetype,City,District,KPIType,KPI Name,Result
25.12.2020 12:8,requests,Wuppertal,Keine Ahnung,KPI 3,Average €/qm,nan
25.12.2020 12:8,requests,Wuppertal,Keine Ahnung,KPI 4,Count furnished,1
25.12.2020 12:8,requests,Wuppertal,Keine Ahnung,KPI 5,Count unfurnished,0
25.12.2020 12:8,requests,Wuppertal,So zentral wie möglich,KPI 1,Average price,450.0
25.12.2020 12:8,requests,Wuppertal,So zentral wie möglich,KPI 2,Average size,13.0
25.12.2020 12:8,requests,Wuppertal,So zentral wie möglich,KPI 3,Average €/qm,34.615384615384606
25.12.2020 12:8,requests,Wuppertal,So zentral wie möglich,KPI 4,Count furnished,0
25.12.2020 12:8,requests,Wuppertal,So zentral wie möglich,KPI 5,Count unfurnished,1
25.10.2020 12:8,requests,Essen,Burgaltendorf,KPI 1,Average price,361.75
25.10.2020 12:8,requests,Essen,Burgaltendorf,KPI 2,Average size,13.454545454545455
25.10.2020 12:8,requests,Essen,Burgaltendorf,KPI 3,Average €/qm,28.61363636363637
25.10.2020 12:8,requests,Essen,Burgaltendorf,KPI 4,Count furnished,6
25.10.2020 12:8,requests,Essen,Burgaltendorf,KPI 5,Count unfurnished,15
25.10.2020 12:8,requests,Essen,Frohnhausen,KPI 1,Average price,369.4
25.10.2020 12:8,requests,Essen,Frohnhausen,KPI 2,Average size,13.6
25.10.2020 12:8,requests,Essen,Frohnhausen,KPI 3,Average €/qm,29.16633986928105
25.10.2020 12:8,requests,Essen,Frohnhausen,KPI 4,Count furnished,9
25.10.2020 12:8,requests,Essen,Frohnhausen,KPI 5,Count unfurnished,17
25.10.2020 12:8,requests,Essen,Rüttenscheid,KPI 1,Average price,387.0
25.10.2020 12:8,requests,Essen,Rüttenscheid,KPI 2,Average size,13.5
25.10.2020 12:8,requests,Essen,Rüttenscheid,KPI 3,Average €/qm,31.130602240896366
25.10.2020 12:8,requests,Essen,Rüttenscheid,KPI 4,Count furnished,9
25.10.2020 12:8,requests,Essen,Rüttenscheid,KPI 5,Count unfurnished,17
25.10.2020 12:8,requests,Essen,Borbeck,KPI 1,Average price,361.75
25.10.2020 12:8,requests,Essen,Borbeck,KPI 2,Average size,13.454545454545455
25.10.2020 12:8,requests,Essen,Borbeck,KPI 3,Average €/qm,28.61363636363637
25.10.2020 12:8,requests,Essen,Borbeck,KPI 4,Count furnished,6
25.10.2020 12:8,requests,Essen,Borbeck,KPI 5,Count unfurnished,15
25.10.2020 12:8,requests,Essen,Bredeney,KPI 1,Average price,377.85714285714283
25.10.2020 12:8,requests,Essen,Bredeney,KPI 2,Average size,13.333333333333334
